name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,carbs ratio:,fats ratio:,protein ratio:,GLYCEMIC_LOAD:,Completeness Score:,Amino Acid Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Calories From Alcohol:,Dietary Fiber:,Starch:,Sugars:,Sucrose:,Glucose:,Fructose:,Lactose:,Maltose:,Galactose:,Total Fat:,Saturated Fat:,4:00,6:00,8:00,10:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,22:00,24:00:00,Monounsaturated Fat:,14:01,15:01,16:1 undifferentiated:,16:1 c:,16:1 t:,17:01,18:1 undifferentiated:,18:1 c:,18:1 t:,20:01,22:1 undifferentiated:,22:1 c:,22:1 t:,24:1 c:,Polyunsaturated Fat:,16:2 undifferentiated:,18:2 undifferentiated:,"18:2 n-6 c,c:","18:2 c,t:","18:2 t,c:","18:2 t,t:",18:2 i:,18:2 t not further defined:,18:03,"18:3 n-3, c,c,c:","18:3 n-6, c,c,c:",18:4 undifferentiated:,"20:2 n-6 c,c:",20:3 undifferentiated:,20:3 n-3:,20:3 n-6:,20:4 undifferentiated:,20:4 n-3:,20:4 n-6:,20:5 n-3:,22:02,22:5 n-3:,22:6 n-3:,Total trans fatty acids:,Total trans-monoenoic fatty acids:,Total trans-polyenoic fatty acids:,Total Omega-3 fatty acids:,Total Omega-6 fatty acids:,Protein:,Tryptophan:,Threonine:,Isoleucine:,Leucine:,Lysine:,Methionine:,Cystine:,Phenylalanine:,Tyrosine:,Valine:,Arginine:,Histidine:,Alanine:,Aspartic acid:,Glutamic acid:,Glycine:,Proline:,Serine:,Hydroxyproline:,Vitamin A:,Retinol:,Retinol Activity Equivalent:,Alpha Carotene:,Beta Carotene:,Beta Cryptoxanthin:,Lycopene:,Lutein+Zeaxanthin:,Vitamin C:,Vitamin D:,Vitamin E (Alpha Tocopherol):,Beta Tocopherol:,Gamma Tocopherol:,Delta Tocopherol:,Vitamin K:,Thiamin:,Riboflavin:,Niacin:,Vitamin B6:,Folate:,Food Folate:,Folic Acid:,Dietary Folate Equivalents:,Vitamin B12:,Pantothenic Acid:,Choline:,Betaine:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Copper:,Manganese:,Selenium:,Fluoride:,Cholesterol:,Phytosterols:,Campesterol:,Stigmasterol:,Beta-sitosterol:,Alcohol:,Water:,Ash:,Caffeine:,Theobromine:,tag
Seaweed. irishmoss. raw,3.4,4.8,52.57323553,57.04040916,31.09279797,89%,3%,8%,4.592913322,76,,48.99776,43.970394,1.3390332,3.6851408,0,1.3000101,,0.6099614,,,,,,,0.1599787,0.0330048,0,0,0,0,0,,1.9998937,,28.996819,,1.0000149,,,,,0.014999647,,,5.0005703,,,,5.0005703,,,5.0005703,0,,,,0.05500144,,1.9998937,,,,,,,1.0000149,,,0,,,,,5.0005703,,,45.993046,,0,0,,,,46.99369,1.9998937,1.5100969,,,,,,,,,,,,,,,,,,,,117.999626,0,5.9997916,0,71.00893,0,0,0,3.0001352,,0.8700293,,,,5.0005703,0.014999647,0.46607158,0.5929322,0.069009766,182.00397,182.00397,0,182.00397,0,0.17597987,12.901111,,71.9966,8.898943,144.00497,157.00226,62.99049,66.99792,1.949755,0.14899482,0.36998367,0.70000964,,0,,,,,0,81.34418,4.6998997,0,0,0
Seaweed. kelp. raw,3.7,4.6,55.64227136,55.079097,27.32813764,79%,11%,10%,3.78136768,80,79,43.006485,34.224712,4.6863284,4.099995,0,1.3000101,,0.6000336,,,,,,,0.5599241,0.24697581,0,0,0,0,0,,31.00055,,109.983536,,85.992775,,,,,0.09801246,,,3.9998012,,,,85.992775,,,0,0,,,,0.04699925,,20.001848,,,,,,,3.9998012,,,3.9998012,,,,,12.00148,,,3.9998012,,0,0,,,,7.9986305,20.001848,1.6801622,48.000683,55.004826,75.98887,83.00719,82.00008,24.997374,98.00385,43.006485,25.996523,71.9966,65.00506,23.998045,122.008415,124.98363,268.03476,100.00745,72.99801,98.00385,,116.00763,0,5.9997916,0,69.98983,0,0,0,3.0001352,,0.8700293,,,,65.993965,0.050003715,0.15001008,0.4699889,0.002000019,180.02693,180.02693,0,180.02693,0,0.6419776,12.802023,,168.01292,2.8497818,120.99363,41.996197,88.99994,233.00462,1.2300763,0.12997942,0.19998784,0.70000964,,0,,,,,0,81.57969,6.6089935,0,0,0
Seaweed. laver. raw,4.4,5,64.8,60,19.2,53%,7%,40%,3.464194939,84,75,35.00304,18.481997,2.343242,14.17446,0,0.29997736,,0.49007404,,,,,,,0.27998212,0.061004594,0,0,0,0,0,,3.0001352,,49.999485,,3.0001352,,,,,0.024996204,,,8.001201,,,,8.001201,,,8.999572,0,,,,0.11000829,,3.9998012,,,,,,,1.0000149,,,0,,,,,8.999572,,,79.99666,,0,0,,,,81.00518,3.9998012,5.810089,43.006485,232.03362,258.97836,500.97696,221.97212,144.9797,100.00745,272.9878,254.03459,402.02515,284.99524,139.99113,650.90643,566.9297,547.0708,362.98523,251.0331,298.968,,5201.739,0,259.9786,0,3121.2437,0,0,0,39.005146,,1.0000149,,,,3.9998012,0.09801246,0.44596195,1.4698672,0.15899917,146.00793,146.00793,0,146.00793,0,0.52098,10.399388,,69.98983,1.7997969,1.9998937,57.998978,356.056,48.000683,1.0501049,0.26402563,0.9878699,0.70000964,,0,,,,,0,85.03135,3.770179,0,0,0
Seaweed. spirulina. dried,2.9,4.1,44.57407354,49.17680998,35.55577628,30%,22%,48%,9.337011897,69,103,289.9821,85.14068,64.630264,140.21616,0,3.5997064,,3.1000986,,,,,,,7.7208943,2.6501527,0,0,0,0,0,,74.9946,,2495.9087,,76.996315,,,,,0.67501974,,,328.05237,,,,347.02237,,,0,0,,,,2.0798664,,1253.8878,,,,,,,822.92633,,,0,,,,,0,,,0,,0,0,,,,822.92633,1253.8878,57.46117,928.87286,2969.6387,3208.6733,4947.4907,3024.5146,1148.9786,662.08325,2776.809,2584.0195,3511.7842,4147.5728,1085.1235,4514.656,5792.7446,8386.869,3099.263,2382.318,2998.3955,,570.0341,0,28.996819,0,342.04205,0,0,0,10.099763,,5.0005703,,,,25.500244,2.3796682,3.6697795,12.818484,0.3639554,93.995415,93.995415,0,93.995415,0,3.4802816,65.993965,,119.98728,28.498142,195.01843,117.999626,1363.1113,1048.1226,1.9998937,6.1008716,1.9002618,7.2009516,,0,,,,,0,4.6803093,6.229619,0,0,0
Seaweed. spirulina. raw,4.6,4,59.04904799,47.97140249,15.50462711,31%,13%,56%,2.419769287,61,103,25.996523,8.28902,3.264703,14.441047,,,,,,,,,,,0.39005193,0.13499586,,,,,,,3.9998012,,127.0073,,3.9998012,,,,,0.034002267,,,17.000992,,,,18.00149,,,,,,,,0.10601663,,63.98985,,,,,,,41.996197,,,,,,,,,,,,,,,,,,41.996197,63.98985,5.9193735,96.009544,305.96335,331.01636,508.92496,312.01794,117.999626,67.99529,286.0041,265.97626,362.0536,427.0524,112.01594,464.99832,597.022,864.105,319.01108,244.97862,309.02545,,56.00328,0,3.0001352,,,,,,0.89990973,,,,,,,0.22203398,0.34201598,1.1961473,0.034002267,8.999572,8.999572,0,8.999572,0,0.32504067,,,12.00148,2.7899773,18.999727,11.000802,127.0073,98.00385,0.19998784,0.5969524,0.18597351,0.70000964,,0,,,,,0,90.673706,0.6000336,,,0
Seaweed. wakame. raw,3.7,4.6,55.75289276,55.46034211,27.36852575,72%,12%,16%,4.438361381,81,27,44.999252,32.249996,5.356492,7.39318,0,0.49995255,,0.65008354,,,,,,,0.63991547,0.12997942,0,0,0,0,0,,7.000213,,117.01818,,5.9997916,,,,,0.05799291,,,18.999727,,,,20.001848,,,20.001848,0,,,,0.21798731,,9.999676,,,,,,,1.9998937,,,0,,,,,21.002775,,,186.0234,,0,0,,,,188.00589,9.999676,3.0301704,35.00304,165.01753,86.99301,256.9894,112.01594,62.99049,27.999046,112.01594,48.99776,209.03064,91.99397,14.998988,136.00175,178.98898,199.00539,112.01594,91.99397,77.992065,,359.96616,0,18.00149,0,215.99318,0,0,0,3.0001352,,1.0000149,,,,5.2999988,0.059997056,0.22998172,1.6000471,0.002000019,196.02336,196.02336,0,196.02336,0,0.69708836,13.899392,,150.00142,2.179784,106.98669,79.99666,49.999485,871.9123,0.380008,0.2839818,1.4002237,0.70000964,,0,,,,,0,79.99666,7.2009516,0,0,0
Mushrooms. straw. canned. drained solids,4.5,3.8,55.98448537,45.15086841,15.99556527,51%,18%,31%,2.139481068,57,,32.002308,16.274204,5.6918387,10.035076,,2.5004015,,,,,,,,,0.6800329,0.08900268,,,,1.9998937,7.000213,,1.9998937,,43.998653,,13.997976,,,,,0.012001306,,,,,,,12.00148,,,,,,,,0.26300597,,258.97836,,,,,,,1.9998937,,,,,,,,,,,,,,,,,,1.9998937,258.97836,3.8300085,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,,,,,,,0.012998266,0.07000633,0.22397684,0.013999227,38.0033,38.0033,0,38.0033,0,0.412001,,,9.999676,1.4297891,7.000213,60.999146,77.992065,383.97525,0.67004347,0.13300106,0.09801246,15.197853,,0,,,,,0,89.890656,0.96992815,,,0
Beans. kidney. mature seeds. sprouted. cooked. boiled. drained. without salt,4.5,4.8,65.38611034,57.21727896,17.92834813,49%,15%,36%,3.421284084,66,87,33.004616,16.363325,4.8533597,11.783711,,,,,,,,,,,0.5799125,0.08299642,,,,,,,,,73.98957,,9.999676,,,,,0.04500649,,,,,,,44.999252,,,,,,,,0.3179959,,122.9922,,,,,,,194.01866,,,,,,,,,,,,,,,,,,194.01866,122.9922,4.830025,49.999485,203.00862,213.99037,347.02237,275.0122,49.999485,55.004826,243.0191,165.97446,247.98738,263.00256,135.00063,200.03085,627.90424,589.0212,165.97446,195.01843,257.982,,1.9998937,0,0,,,,,,35.6041,,,,,,,0.3619678,0.27302924,3.024334,0.09299165,46.99369,46.99369,0,46.99369,0,0.38098842,,,18.999727,0.8901236,23.001692,38.0033,194.01866,7.000213,0.43997213,0.1740012,0.19902171,0.6000336,,0,,,,,0,89.2863,0.5799125,,,0
Beans. kidney. mature seeds. sprouted. cooked. boiled. drained. with salt,4.5,4.1,59.73021809,49.29731117,16.94959084,49%,15%,36%,3.421284084,66,87,33.004616,16.363325,4.8533597,11.783711,,,,,,,,,,,0.5799125,0.08299642,,,,,,,,,73.98957,,9.999676,,,,,0.04500649,,,,,,,44.999252,,,,,,,,0.3179959,,122.9922,,,,,,,194.01866,,,,,,,,,,,,,,,,,,194.01866,122.9922,4.830025,49.999485,203.00862,213.99037,347.02237,275.0122,49.999485,55.004826,243.0191,165.97446,247.98738,263.00256,135.00063,200.03085,627.90424,589.0212,165.97446,195.01843,257.982,,1.9998937,0,0,,,,,,35.6041,,,,,,,0.3619678,0.27302924,3.024334,0.09299165,46.99369,46.99369,0,46.99369,0,0.38098842,,,18.999727,0.8901236,23.001692,38.0033,194.01866,243.0191,0.43997213,0.1740012,0.19902171,0.6000336,,0,,,,,0,89.2863,0.5799125,,,0
Beans. kidney. mature seeds. sprouted. raw,4.6,4.8,66.79417184,57.98489534,16.76323103,51%,14%,35%,3.23654296,66,88,28.996819,14.562173,4.1851797,10.246835,,,,,,,,,,,0.49995255,0.0719953,,,,,,,,,63.98985,,8.999572,,,,,0.03899381,,,,,,,39.005146,,,,,,,,0.2760386,,106.98669,,,,,,,168.98723,,,,,,,,,,,,,,,,,,168.98723,106.98669,4.199998,43.998653,176.02394,186.0234,301.96005,238.99338,43.998653,48.000683,212.00613,144.00497,215.99318,227.97006,117.999626,174.00005,546.0174,512.04065,144.00497,168.98723,223.97768,,1.9998937,0,0,,,,,,38.705578,,,,,,,0.36998367,0.25002137,2.9202366,0.08498941,58.994904,58.994904,0,58.994904,0,0.36796325,,,17.000992,0.81007594,21.002775,37.003403,186.98198,5.9997916,0.399974,0.15899917,0.18199234,0.6000336,,0,,,,,0,90.70284,0.49995255,,,0
Beans. mung. mature seeds. sprouted. canned. drained solids,4.5,3.4,51.75395951,40.66345027,14.64233133,68%,4%,28%,1.340238571,69,74,12.00148,8.083883,0.50221056,3.4160204,0,0.7999781,0,1.3398945,,,,,,,0.059997056,0.01600113,0,0,0,0,0,,0,,11.000802,,3.0001352,,,,,0.008000115,,,0,,,,8.001201,,,0,0,,,,0.02000271,,14.998988,,,,,,,5.9997916,,,0,,,,,0,,,0,,0,0,,,,5.9997916,14.998988,1.4002237,18.999727,39.99484,66.99792,88.99994,85.004036,17.000992,8.999572,60.007927,25.996523,66.99792,101.00833,35.995106,49.999485,244.97862,82.00008,32.002308,,17.000992,,8.001201,0,0,1.9998937,1.9998937,1.9998937,0,0,0.29997736,,0.03999539,,,,13.399559,0.029999979,0.07000633,0.21996589,0.032003943,9.999676,9.999676,0,9.999676,0,0.14299867,7.8006806,,13.997976,0.43002847,8.999572,32.002308,27.000887,139.99113,0.27998212,0.15700719,0.073010586,0.6000336,,0,,,,,0,96.10211,0.29997736,0,0,0
Beans. navy. mature seeds. sprouted. cooked. boiled. drained. without salt,2.9,4.4,45.92538896,53.30333358,36.56152739,69%,9%,22%,7.019165353,61,87,77.992065,53.954792,6.781063,17.254091,,,,,,,,,,,0.81007594,0.09801246,,,,,,,,,86.99301,,11.000802,,,,,0.059997056,,,,,,,60.007927,,,,,,,,0.46802616,,168.98723,,,,,,,298.968,,,,,,,,,,,,,,,,,,298.968,168.98723,7.0702815,73.98957,296.95795,314.029,507.945,403.05963,73.98957,79.99666,356.9722,243.0191,362.98523,384.9633,197.98517,292.97833,919.0781,862.99536,243.0191,284.99524,377.97864,,3.9998012,0,0,,,,,,17.29849,,,,,,,0.38098842,0.23500694,1.262935,0.1979963,105.99464,105.99464,0,105.99464,0,0.85395086,,,15.999458,2.1101649,111.01292,103.00716,316.9681,13.997976,0.96992815,0.38904825,0.44596195,0.6000336,,0,,,,,0,76.01328,1.0900112,,,0
Beans. navy. mature seeds. sprouted. cooked. boiled. drained. with salt,2.9,3.9,43.41459649,46.50610161,34.67540631,69%,9%,22%,7.019165353,61,87,77.992065,53.954792,6.781063,17.254091,,,,,,,,,,,0.81007594,0.09801246,,,,,,,,,86.99301,,11.000802,,,,,0.059997056,,,,,,,60.007927,,,,,,,,0.46802616,,168.98723,,,,,,,298.968,,,,,,,,,,,,,,,,,,298.968,168.98723,7.0702815,73.98957,296.95795,314.029,507.945,403.05963,73.98957,79.99666,356.9722,243.0191,362.98523,384.9633,197.98517,292.97833,919.0781,862.99536,243.0191,284.99524,377.97864,,3.9998012,0,0,,,,,,17.29849,,,,,,,0.38098842,0.23500694,1.262935,0.1979963,105.99464,105.99464,0,105.99464,0,0.85395086,,,15.999458,2.1101649,111.01292,103.00716,316.9681,249.98695,0.96992815,0.38904825,0.44596195,0.6000336,,0,,,,,0,76.01328,1.0900112,,,0
Beans. navy. mature seeds. sprouted. raw,3.1,4.5,48.38416025,53.84631109,34.29445814,69%,9%,22%,6.223192801,62,87,66.99792,46.126213,5.858827,15.003807,,,,,,,,,,,0.70000964,0.08498941,,,,,,,,,75.98887,,8.999572,,,,,0.052008193,,,,,,,51.997932,,,,,,,,0.4069902,,146.99622,,,,,,,259.9786,,,,,,,,,,,,,,,,,,259.9786,146.99622,6.1500716,63.98985,257.982,272.9878,441.98624,350.04532,63.98985,69.98983,310.01974,212.00613,315.95154,334.97418,171.99942,255.01575,798.96185,749.96765,212.00613,247.98738,329.00217,,3.9998012,0,0,,,,,,18.79937,,,,,,,0.39005193,0.21498322,1.2198371,0.19102572,131.99881,131.99881,0,131.99881,0,0.8250638,,,14.998988,1.9298049,101.00833,100.00745,307.04642,13.000965,0.8901236,0.3559551,0.40804005,0.6000336,,0,,,,,0,79.15311,0.9498652,,,0
Beans. pinto. mature seeds. sprouted. cooked. boiled. drained. without salt,4.5,4.3,61.63449862,51.54756728,17.34248799,67%,12%,21%,2.69143166,66,86,21.99718,14.783715,2.6775455,4.5381484,,,,,,,,,,,0.31994882,0.03899381,,,,,,,,,33.994606,,3.9998012,,,,,0.023997106,,,,,,,23.998045,,,,,,,,0.18501498,,66.99792,,,,,,,117.999626,,,,,,,,,,,,,,,,,,117.999626,66.99792,1.8597789,18.999727,77.992065,82.00008,133.0204,105.99464,18.999727,21.002775,93.995415,63.98985,94.99714,101.00833,51.997932,76.996315,240.99783,226.00134,63.98985,74.9946,98.98468,,1.0000149,0,0,,,,,,6.1008716,,,,,,,0.06699285,0.059005886,0.72498995,0.054003034,28.996819,28.996819,0,28.996819,0,0.23500694,,,14.998988,0.65998816,18.00149,30.00122,98.00385,51.005302,0.17000008,0.10698354,0.123018466,0.6000336,,0,,,,,0,93.39345,0.34003833,,,0
